name_muni,code_muni,lat,lon
Amparo Do São Francisco,2800100.0,-10.16577841677728,-36.921317820213645
Aquidabã,2800209.0,-10.260858227895312,-37.06413475029457
Aracaju,2800308.0,-10.994449312777162,-37.094903952551455
Arauá,2800407.0,-11.262308908441042,-37.59202334221555
Areia Branca,2800506.0,-10.787249271012435,-37.331342878451345
Barra Dos Coqueiros,2800605.0,-10.851006520358425,-36.96923510546358
Boquim,2800670.0,-11.120432008497783,-37.597066223773425
Brejo Grande,2800704.0,-10.477311308051089,-36.474096072926535
Campo Do Brito,2801009.0,-10.76637561453272,-37.50063492654433
Canhoba,2801108.0,-10.148399705022861,-37.00079380920279
Canindé De São Francisco,2801207.0,-9.70924124700237,-37.91800371155463
Capela,2801306.0,-10.468784498406944,-37.03636388899954
Carira,2801405.0,-10.363690295148308,-37.71051051686662
Carmópolis,2801504.0,-10.664586859787939,-36.966012392092814
Cedro De São João,2801603.0,-10.266310107517898,-36.899116168455826
Cristinápolis,2801702.0,-11.481992735544189,-37.73292855671442
Cumbe,2801900.0,-10.348399833103954,-37.19576200359257
Divina Pastora,2802007.0,-10.67594741924211,-37.15660144366512
Estância,2802106.0,-11.249646188477069,-37.397874977973515
Feira Nova,2802205.0,-10.28256478437186,-37.32972553335311
Frei Paulo,2802304.0,-10.522457042707956,-37.58984591195785
Gararu,2802403.0,-10.026954870289643,-37.20338853650194
General Maynard,2802502.0,-10.692911233215082,-36.97106271488364
Gracho Cardoso,2802601.0,-10.222555074829028,-37.21876694590422
Ilha Das Flores,2802700.0,-10.456355656142259,-36.554798229371734
Indiaroba,2802809.0,-11.475537426203974,-37.52896178994451
Itabaiana,2802908.0,-10.685763164289673,-37.42160315062331
Itabaianinha,2803005.0,-11.258683384483076,-37.779274602645884
Itabi,2803104.0,-10.105831346715838,-37.14393470995117
Itaporanga D'ajuda,2803203.0,-11.057952216916712,-37.31811580945703
Japaratuba,2803302.0,-10.553388329806982,-36.90297788080178
Japoatã,2803401.0,-10.436105870816736,-36.78873832941717
Lagarto,2803500.0,-10.90270103429317,-37.66437180785134
Laranjeiras,2803609.0,-10.804476449802836,-37.18603689961801
Macambira,2803708.0,-10.659982275076851,-37.5968877596369
Malhada Dos Bois,2803807.0,-10.329253263838394,-36.94426921726747
Malhador,2803906.0,-10.672904708608456,-37.287796282754556
Maruim,2804003.0,-10.730403144366381,-37.105304508757484
Moita Bonita,2804102.0,-10.59354145496333,-37.34035813183472
Monte Alegre De Sergipe,2804201.0,-10.064506043790395,-37.615969432934286
Muribeca,2804300.0,-10.38395359024395,-36.959071840298215
Neópolis,2804409.0,-10.348333163057674,-36.66040524202477
Nossa Senhora Aparecida,2804458.0,-10.358118032330857,-37.504900744159144
Nossa Senhora Da Glória,2804508.0,-10.17766988914649,-37.52827107036002
Nossa Senhora Das Dores,2804607.0,-10.466635283236663,-37.24025269944029
Nossa Senhora De Lourdes,2804706.0,-10.076843791001645,-37.01448527651484
Nossa Senhora Do Socorro,2804805.0,-10.86390245574975,-37.145393805865474
Pacatuba,2804904.0,-10.519182683404944,-36.646818044181245
Pedra Mole,2805000.0,-10.624426853023383,-37.67997103903201
Pedrinhas,2805109.0,-11.20444070075995,-37.65847698866396
Pinhão,2805208.0,-10.56329995167508,-37.75812325649137
Pirambu,2805307.0,-10.654081095316634,-36.80492008919618
Poço Redondo,2805406.0,-9.85015694011145,-37.70872850028034
Poço Verde,2805505.0,-10.800746671116029,-38.127068319597
Porto Da Folha,2805604.0,-9.913690160379648,-37.422426153148436
Propriá,2805703.0,-10.24501057682747,-36.80299965108746
Riachão Do Dantas,2805802.0,-11.033980352742425,-37.800495051444145
Riachuelo,2805901.0,-10.730579829075875,-37.22530183505336
Ribeirópolis,2806008.0,-10.504017920080072,-37.42945558941007
Rosário Do Catete,2806107.0,-10.682339330746101,-37.03552973584276
Salgado,2806206.0,-11.06262969418162,-37.48056450776509
Santa Luzia Do Itanhy,2806305.0,-11.361844849038,-37.50593108375997
Santana Do São Francisco,2806404.0,-10.28677387048327,-36.63684683763396
Santa Rosa De Lima,2806503.0,-10.63200433478523,-37.23605493080494
Santo Amaro Das Brotas,2806602.0,-10.773602711475666,-36.982608355821384
São Cristóvão,2806701.0,-10.962265630621937,-37.22043596408013
São Domingos,2806800.0,-10.782274448329078,-37.57480406188233
São Francisco,2806909.0,-10.335065537471657,-36.866781509099326
São Miguel Do Aleixo,2807006.0,-10.399101900963226,-37.36365846258946
Simão Dias,2807105.0,-10.756475626365997,-37.828325276526016
Siriri,2807204.0,-10.574959014813723,-37.125187460932345
Telha,2807303.0,-10.193143606572507,-36.889273162061755
Tobias Barreto,2807402.0,-11.042335957586921,-38.003242835596666
Tomar Do Geru,2807501.0,-11.369980149114,-37.87514079714915
Umbaúba,2807600.0,-11.399957910484867,-37.66245230281856
