abbrev_state,name_state,lat,lon
RO,Rondônia,-10.922246340978303,-62.83913259658416
AC,Acre,-9.216927125615475,-70.47000088076797
AM,Amazônas,-4.168427501355869,-64.65458168095188
RR,Roraima,2.0847369082344853,-61.392081930241375
PA,Pará,-3.99777846581629,-53.07201121499316
AP,Amapá,1.4483695446848661,-51.96198682055706
TO,Tocantins,-10.16485683957828,-48.331884614270635
MA,Maranhão,-5.081224471817347,-45.28918057229951
PI,Piauí,-7.400209482768758,-42.97403326059139
CE,Ceará,-5.096723667120725,-39.615488166128515
RN,Rio Grande Do Norte,-5.840362410561941,-36.67326710190628
PB,Paraíba,-7.121651557378167,-36.83244191922139
PE,Pernambuco,-8.326043511803386,-37.99773259850697
AL,Alagoas,-9.514216460123562,-36.62488444146898
SE,Sergipe,-10.584889091091709,-37.443866040894434
BA,Bahia,-12.499113728131135,-41.72046660786813
MG,Minas Gerais,-18.490914763277143,-44.67879657491471
ES,Espírito Santo,-19.582706927981576,-40.670173981134845
RJ,Rio De Janeiro,-22.198744346487267,-42.66533232409928
SP,São Paulo,-22.282037032007654,-48.72312504155469
PR,Paraná,-24.64764235232898,-51.615377485125634
SC,Santa Catarina,-27.254374251045203,-50.47193155708566
RS,Rio Grande Do Sul,-29.73108107181174,-53.321452061674606
MS,Mato Grosso Do Sul,-20.35047396714777,-54.84418080924081
MT,Mato Grosso,-12.982909903931397,-55.90939116523705
GO,Goiás,-16.06183073780961,-49.62901003317013
DF,Distrito Federal,-15.781347588781248,-47.79685972728043
